gender,agegroup,crude,province,year
F,35-51,13.3,Liege,2004
F,45-61,16.7,Liege,2004
F,55-71,12.8,Liege,2004
F,65-81,19.7,Liege,2004
F,75+,19.2,Liege,2004
F,T,13.6,Liege,2004
F,T,9.1,Liege,2004
M,15-32,10.7,luxembourg,2004
M,25-42,1,luxembourg,2004
M,35-52,8.9,luxembourg,2004
M,45-62,9.7,luxembourg,2004
M,55-72,13.1,luxembourg,2004
M,65-82,0,luxembourg,2004
M,75+,3.8,luxembourg,2004
M,T,7.4,luxembourg,2004
F,T,4.3,luxembourg,2004
F,15-32,9.6,luxembourg,2004
F,25-42,12.3,luxembourg,2004
F,35-52,16.6,luxembourg,2004
F,45-62,26.7,luxembourg,2004
F,55-72,17.2,luxembourg,2004
F,65-82,16.4,luxembourg,2004
F,75+,14.1,luxembourg,2004
T,T,10.7,luxembourg,2004
M,15-32,8.6,namur,2004
M,25-42,8.1,namur,2004
M,35-52,7.4,namur,2004
M,45-62,5.1,namur,2004
M,55-72,6.7,namur,2004
M,65-82,0,namur,2004
M,75+,17.5,namur,2004
M,T,6.8,namur,2004
F,T,13.8,namur,2004
F,15-32,6,namur,2004
F,25-42,7.5,namur,2004
F,35-52,15.4,namur,2004
F,45-62,3.1,namur,2004
F,55-72,17.4,namur,2004
F,65-82,26.7,namur,2004
F,75+,11.8,namur,2004
T,T,9.4,namur,2004
M,15-32,0,antwerp,2001
M,25-42,2.5,antwerp,2001
M,35-52,3.2,antwerp,2001
M,45-62,10.7,antwerp,2001
M,55-72,3.5,antwerp,2001
M,65-82,3.5,antwerp,2001
M,75+,12,antwerp,2001
M,T,4.6,antwerp,2001
F,15-32,8.3,antwerp,2001
F,25-42,4.5,antwerp,2001
F,35-52,6.4,antwerp,2001
F,45-62,14.3,antwerp,2001
F,55-72,8.8,antwerp,2001
F,65-82,8.7,antwerp,2001
F,75+,25.1,antwerp,2001
F,T,9.9,antwerp,2001
T,T,7.3,antwerp,2001
M,15-32,3.1,vlaams brabant,2001
M,25-42,1.5,vlaams brabant,2001
M,35-52,1,vlaams brabant,2001
M,45-62,1.6,vlaams brabant,2001
M,55-72,4.3,vlaams brabant,2001
M,65-82,2.1,vlaams brabant,2001
M,75+,0,vlaams brabant,2001
M,T,2,vlaams brabant,2001
F,15-32,13.2,vlaams brabant,2001
F,25-42,14.3,vlaams brabant,2001
F,35-52,4.4,vlaams brabant,2001
F,45-62,4,vlaams brabant,2001
F,55-72,7.6,vlaams brabant,2001
F,65-82,4.1,vlaams brabant,2001
F,75+,9,vlaams brabant,2001
F,T,7.8,vlaams brabant,2001
T,T,5,vlaams brabant,2001
M,15-33,3.7,west-vlaanderen,2001
M,25-43,8.2,west-vlaanderen,2001
M,35-53,0,west-vlaanderen,2001
M,45-63,4.2,west-vlaanderen,2001
M,55-73,6.4,west-vlaanderen,2001
M,65-83,4.4,west-vlaanderen,2001
M,75+,0,west-vlaanderen,2001
M,T,4,west-vlaanderen,2001
F,T,11.3,west-vlaanderen,2001
F,15-33,7.1,west-vlaanderen,2001
F,25-43,14.8,west-vlaanderen,2001
F,35-53,4.8,west-vlaanderen,2001
F,45-63,1.8,west-vlaanderen,2001
F,55-73,12,west-vlaanderen,2001
F,65-83,5.3,west-vlaanderen,2001
F,75+,8.7,west-vlaanderen,2001
T,T,6.3,west-vlaanderen,2001
M,15-33,6.7,oost-vlaanderen,2001
M,25-43,5,oost-vlaanderen,2001
M,35-53,0,oost-vlaanderen,2001
M,45-63,3.8,oost-vlaanderen,2001
M,55-73,7.6,oost-vlaanderen,2001
M,65-83,30,oost-vlaanderen,2001
M,75+,30.9,oost-vlaanderen,2001
M,T,8.8,oost-vlaanderen,2001
F,T,2.6,oost-vlaanderen,2001
F,15-33,9.1,oost-vlaanderen,2001
F,25-43,7.7,oost-vlaanderen,2001
F,35-53,7.4,oost-vlaanderen,2001
F,45-63,15.8,oost-vlaanderen,2001
F,55-73,18.8,oost-vlaanderen,2001
F,65-83,12.6,oost-vlaanderen,2001
F,75+,9.9,oost-vlaanderen,2001
T,T,9.4,oost-vlaanderen,2001
M,15-33,12.2,limburg,2001
M,25-43,11.5,limburg,2001
M,35-53,5.1,limburg,2001
M,45-63,16.9,limburg,2001
M,55-73,2.2,limburg,2001
M,65-83,11.3,limburg,2001
M,75+,20.1,limburg,2001
M,T,10.4,limburg,2001
F,T,12.8,limburg,2001
F,15-33,13.6,limburg,2001
F,25-43,6.4,limburg,2001
F,35-53,15.5,limburg,2001
F,45-63,8.5,limburg,2001
F,55-73,13,limburg,2001
F,65-83,0,limburg,2001
F,75+,10.7,limburg,2001
T,T,10.6,limburg,2001
M,15-33,1.8,brussels,2001
M,25-43,8,brussels,2001
M,35-53,3.6,brussels,2001
M,45-63,4.6,brussels,2001
M,55-73,8.3,brussels,2001
M,65-83,12.8,brussels,2001
M,75+,6.2,brussels,2001
M,T,6,brussels,2001
F,T,10.9,brussels,2001
F,15-33,8.4,brussels,2001
F,25-43,13.9,brussels,2001
F,35-53,12.1,brussels,2001
F,45-63,12.2,brussels,2001
F,55-73,16.9,brussels,2001
F,65-83,23.9,brussels,2001
F,75+,13.5,brussels,2001
T,T,10,brussels,2001
M,15-33,8.8,Brabant Wallon,2001
M,25-43,14.2,Brabant Wallon,2001
M,35-53,2.1,Brabant Wallon,2001
M,45-63,9.7,Brabant Wallon,2001
M,55-73,3.1,Brabant Wallon,2001
M,65-83,35.6,Brabant Wallon,2001
M,75+,13.4,Brabant Wallon,2001
M,T,10.5,Brabant Wallon,2001
F,T,3.6,Brabant Wallon,2001
F,15-33,9.4,Brabant Wallon,2001
F,25-43,2.4,Brabant Wallon,2001
F,35-53,13.1,Brabant Wallon,2001
F,45-63,22.6,Brabant Wallon,2001
F,55-73,4.6,Brabant Wallon,2001
F,65-83,4.9,Brabant Wallon,2001
F,75+,8.5,Brabant Wallon,2001
T,T,9.5,Brabant Wallon,2001
M,15-33,0.5,hainout,2001
M,25-43,3.3,hainout,2001
M,35-53,5.6,hainout,2001
M,45-63,4.6,hainout,2001
M,55-73,7,hainout,2001
M,65-83,8.6,hainout,2001
M,75+,7.8,hainout,2001
M,T,4.9,hainout,2001
F,T,10.8,hainout,2001
F,15-33,9.2,hainout,2001
F,25-43,14.3,hainout,2001
F,35-53,13.1,hainout,2001
F,45-63,15.3,hainout,2001
F,55-73,15.3,hainout,2001
F,65-83,16.4,hainout,2001
F,75+,13.1,hainout,2001
T,T,9.2,hainout,2001
M,15-33,1.9,Liege,2001
M,25-43,13.7,Liege,2001
M,35-53,3.6,Liege,2001
M,45-63,9.8,Liege,2001
M,55-73,8.4,Liege,2001
M,65-83,8.9,Liege,2001
M,75+,6.4,Liege,2001
M,T,7.7,Liege,2001
F,T,5.6,Liege,2001
F,15-33,14.6,Liege,2001
F,25-43,17.4,Liege,2001
F,35-53,19.5,Liege,2001
