name, year, amount, age, gender
Namur,2017,3065,21,M
Namur,2017,5967,21,T
Bruxelles,2017,7426,22,F
Bruxelles,2017,7515,22,M
Bruxelles,2017,14941,22,T
Antwerpen,2017,10354,22,F
Antwerpen,2017,10835,22,M
Antwerpen,2017,21189,22,T
Limburg,2017,4566,22,F
Limburg,2017,5033,22,M
Limburg,2017,9599,22,T
Oost_Vlaanderen,2017,8253,22,F
Oost_Vlaanderen,2017,8557,22,M
Oost_Vlaanderen,2017,16810,22,T
Vlaams_Brabant,2017,6449,22,F
Vlaams_Brabant,2017,6800,22,M
Vlaams_Brabant,2017,13249,22,T
West_Vlaanderen,2017,6684,22,F
West_Vlaanderen,2017,7090,22,M
West_Vlaanderen,2017,13774,22,T
Brabant_Wallon,2017,2484,22,F
Brabant_Wallon,2017,2591,22,M
Brabant_Wallon,2017,5075,22,T
Hainaut,2017,7594,22,F
Hainaut,2017,8007,22,M
Hainaut,2017,15601,22,T
Liege,2017,6693,22,F
Liege,2017,6779,22,M
Liege,2017,13472,22,T
Luxembourg,2017,1614,22,F
Luxembourg,2017,1853,22,M
Luxembourg,2017,3467,22,T
Namur,2017,3029,22,F
Namur,2017,3203,22,M
Namur,2017,6232,22,T
Bruxelles,2017,8381,23,F
Bruxelles,2017,7798,23,M
Bruxelles,2017,16179,23,T
Antwerpen,2017,11049,23,F
Antwerpen,2017,11058,23,M
Antwerpen,2017,22107,23,T
Limburg,2017,5061,23,F
Limburg,2017,5208,23,M
Limburg,2017,10269,23,T
Oost_Vlaanderen,2017,8908,23,F
Oost_Vlaanderen,2017,9076,23,M
Oost_Vlaanderen,2017,17984,23,T
Vlaams_Brabant,2017,6523,23,F
Vlaams_Brabant,2017,6901,23,M
Vlaams_Brabant,2017,13424,23,T
West_Vlaanderen,2017,7055,23,F
West_Vlaanderen,2017,7306,23,M
West_Vlaanderen,2017,14361,23,T
Brabant_Wallon,2017,2499,23,F
Brabant_Wallon,2017,2630,23,M
Brabant_Wallon,2017,5129,23,T
Hainaut,2017,7824,23,F
Hainaut,2017,8351,23,M
Hainaut,2017,16175,23,T
Liege,2017,6993,23,F
Liege,2017,7046,23,M
Liege,2017,14039,23,T
Luxembourg,2017,1727,23,F
Luxembourg,2017,1986,23,M
Luxembourg,2017,3713,23,T
Namur,2017,3002,23,F
Namur,2017,3202,23,M
Namur,2017,6204,23,T
Bruxelles,2017,9216,24,F
Bruxelles,2017,8417,24,M
Bruxelles,2017,17633,24,T
Antwerpen,2017,11497,24,F
Antwerpen,2017,11708,24,M
Antwerpen,2017,23205,24,T
Limburg,2017,5179,24,F
Limburg,2017,5350,24,M
Limburg,2017,10529,24,T
Oost_Vlaanderen,2017,9320,24,F
Oost_Vlaanderen,2017,9432,24,M
Oost_Vlaanderen,2017,18752,24,T
Vlaams_Brabant,2017,6749,24,F
Vlaams_Brabant,2017,7015,24,M
Vlaams_Brabant,2017,13764,24,T
West_Vlaanderen,2017,7032,24,F
West_Vlaanderen,2017,7449,24,M
West_Vlaanderen,2017,14481,24,T
Brabant_Wallon,2017,2573,24,F
Brabant_Wallon,2017,2678,24,M
Brabant_Wallon,2017,5251,24,T
Hainaut,2017,8344,24,F
Hainaut,2017,8570,24,M
Hainaut,2017,16914,24,T
Liege,2017,7187,24,F
Liege,2017,7336,24,M
Liege,2017,14523,24,T
Luxembourg,2017,1807,24,F
Luxembourg,2017,2072,24,M
Luxembourg,2017,3879,24,T
Namur,2017,3190,24,F
Namur,2017,3393,24,M
Namur,2017,6583,24,T
Bruxelles,2017,10071,25,F
Bruxelles,2017,8980,25,M
